"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5"
"Afghanistan","AFG","Lower","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.4255188,296.6684738,293.1065927,289.0518109,284.754356,280.0743227,275.403386,270.7806313,266.0156447,260.8646997,256.1733283,251.7475046,246.6858817,241.63742,236.9373288,231.988732,226.8339399,221.5946673,216.1934399,210.8180547,205.5037308,199.9891599,194.7438797,189.5110085,184.0769452,178.7639279,173.5007099,167.9084876,162.5322793,157.6462294,152.6206801,147.8486145,143.1280946,138.7272717,134.6622558,130.7500169,126.9979579,123.2162457,119.5566827,115.8382746,111.920203,108.0529115,104.2297639,100.2899804,96.31373023,92.29988278,88.34942607,84.21736791,80.28214821,76.35169525,72.30562447,68.48121212,64.52639423,60.71684239,57.06805416,53.7447975,50.64092247,47.44206984
"Afghanistan","AFG","Median","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.6294978,338.7155383,333.1066644,327.5608732,322.0461088,316.7946512,311.3824632,305.76466,300.2787548,294.7554605,289.3398525,283.612205,277.81147,272.0443652,266.1668622,260.0954715,254.0462638,247.829492,241.4855371,235.0577223,228.5935187,222.2416294,215.7852526,209.2874311,202.8838923,196.44314,190.0534801,183.7907067,177.6631441,171.6833466,165.9300019,160.3874194,155.1825875,150.2937947,145.6446337,141.2236963,136.9316076,132.7792777,128.6912674,124.5848448,120.4300404,116.2729887,112.0800375,107.8909215,103.6788617,99.53159949,95.40487557,91.43109329,87.62136995,83.90906536,80.33916639,76.83046185,73.58026703,70.44480201,67.57218991,64.94075939,62.54119604,60.26939886
"Afghanistan","AFG","Upper","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.2877128,389.8661714,380.3507869,372.5493332,366.2831278,360.1058736,354.1165634,347.8989161,342.3362352,336.4393169,330.0431312,323.7364992,316.9823684,309.7566201,302.7400754,295.1488176,287.7326833,280.7333332,273.6439074,266.2246557,258.4477005,250.3419677,242.4033271,234.5372816,226.1452215,217.9694947,209.8604209,201.9692389,194.2953773,186.8882823,180.1644668,173.9160289,168.0417814,162.5670917,157.2929315,152.3939394,147.8913304,143.4501752,138.937288,134.5793752,130.2489234,125.7515976,121.2017535,116.5458396,112.0715648,107.5780915,103.4918285,99.54411749,95.76959155,92.32425033,89.07814956,86.077559,83.3780616,80.86343106,78.64620662,76.83287299,75.40556353,74.61604094
"Albania","ALB","Lower","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.08243205,62.13925416,59.89568392,57.34299994,54.91217836,52.23029571,49.60337237,47.03869145,44.54104987,42.1686349,40.01248037,38.11000078,36.41901793,34.98826696,33.6935539,32.53429306,31.41072785,30.32067436,29.24082449,28.12251339,26.98196129,25.88862888,24.7901823,23.73570915,22.67279814,21.56363751,20.40795662,19.21326367,17.93515964,16.60693354,15.2841193,14.02851396,12.83377714,11.74524066,10.81077337,10.07210603,9.549495195,9.225419769,9.07562851,9.044505889,9.067389886,9.068153708
"Albania","ALB","Median","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.20598326,88.60732229,81.60500399,75.17010922,69.21959914,63.91376578,59.17870139,55.00048184,51.31268201,48.12141561,45.38920274,43.00692344,40.99005843,39.27878051,37.79038857,36.45288171,35.17955738,33.91505169,32.62021304,31.28157459,29.94962837,28.58305779,27.20516068,25.79984502,24.36532171,22.91841441,21.4330658,19.96422586,18.51740926,17.11071862,15.75198893,14.45498343,13.24732323,12.13884,11.18487571,10.43048431,9.896396628,9.565250852,9.419109625,9.418051532,9.525133258,9.682406577
"Albania","ALB","Upper","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.0712724,122.7554265,108.6380334,96.40587815,85.69040298,77.07003999,69.84819146,63.90519196,58.92944056,54.7415931,51.29500553,48.4478153,46.06868577,44.06538907,42.32242732,40.78346107,39.35430454,37.88753909,36.42328339,34.89527901,33.25057277,31.56720622,29.85393183,28.06299365,26.2382501,24.38818794,22.53430193,20.75996968,19.11919849,17.62684513,16.22470561,14.90600291,13.6807193,12.55022551,11.57932943,10.82193177,10.27228056,9.936219732,9.795034716,9.826251247,10.02005631,10.34896435
"Algeria","DZA","Lower","Under-five Mortality Rate","Total",NA,NA,NA,NA,181.0953405,187.9203524,194.1303839,199.5430617,203.701477,207.8044205,209.8451879,211.6753035,212.9998434,214.3996528,215.3219863,216.1393168,216.8526136,217.1842233,217.1300675,215.6842766,213.569722,210.0097885,205.4909386,199.9556421,193.8425997,187.2381652,180.6269781,173.431693,165.7035871,156.7332549,145.6678846,131.9049145,116.1891323,100.0964768,85.16504014,72.71724258,63.26105921,56.31483233,51.44612643,48.26327172,46.11267014,44.64333414,43.55050105,42.62921229,41.79036141,41.0378102,40.43715283,39.95541853,39.56110142,39.25108821,38.78735948,38.06523567,37.04848842,35.78047657,34.38960013,32.91231192,31.53843924,30.19028583,28.94129092,27.85057398,26.90548032,26.19922765,25.67666973,25.26511656,24.94460324,24.61343405,24.24576546,23.8019693,23.26259229,22.51337953
"Algeria","DZA","Median","Under-five Mortality Rate","Total",NA,NA,NA,NA,242.6181337,242.0666623,241.6014531,241.1041218,240.7065266,240.3447761,240.5391796,241.011691,242.0494402,243.2187032,244.2092675,245.2845865,246.3573335,246.6193191,246.0512507,244.0722115,240.2137223,235.185471,228.8913204,221.4447653,213.1024007,203.8148723,194.1435989,184.1418442,173.5759612,162.3569389,149.5954951,134.8784272,118.8751964,102.6051349,87.33299441,74.64178892,65.20864479,58.63682353,54.1879444,51.34265221,49.48911264,48.14985802,47.03513132,45.94059228,44.76879488,43.60329673,42.51367986,41.5575888,40.82006905,40.25725918,39.66956933,38.85694913,37.79187379,36.50016997,35.05375001,33.5682472,32.12063105,30.75947233,29.50186475,28.38184054,27.43461166,26.70635875,26.17127465,25.78445983,25.47856015,25.17714208,24.79209779,24.31948201,23.80592604,23.25616812
"Algeria","DZA","Upper","Under-five Mortality Rate","Total",NA,NA,NA,NA,323.0576282,310.7182253,299.5180888,290.6815119,284.1079087,280.2968047,278.0220822,277.3797603,277.1559866,278.9044512,279.8145979,280.8773723,281.7750495,280.7216057,278.5930289,275.0227884,269.6753568,263.1760999,254.8502896,244.9485015,233.6850073,221.4936284,208.5718844,195.3924219,182.1842136,168.3643375,153.798933,137.9835497,121.6787249,105.1822345,89.4715384,76.54862226,67.12949322,60.92663375,56.89587667,54.45853754,52.93547825,51.7610962,50.61287438,49.33137977,47.82320307,46.2844641,44.6847352,43.26548141,42.1343692,41.29795492,40.56282278,39.65614354,38.53107307,37.21804785,35.73912997,34.24858232,32.75524246,31.35192305,30.07741236,28.91353461,27.96880114,27.21981059,26.68342136,26.31052391,26.02329421,25.74609407,25.33948468,24.8438778,24.34582042,24.02594599
"Andorra","AND","Lower","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.757626703,2.856042981,2.968055928,3.086460134,3.215328536,3.289872332,3.386214754,3.511128617,3.601571036,3.657127718,3.73023708,3.777719817,3.824910675,3.861474316,3.851361487,3.808243127,3.784532843,3.711797342,3.616962975,3.486035815,3.303629006,3.104454647,2.895302147,2.675882918,2.44557382,2.21006044,1.97814471,1.759275708,1.566198021,1.384200101,1.232418547,1.098862047,0.985540999,0.910653357,0.847790996
"Andorra","AND","Median","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.10166012,16.16842431,15.3519246,14.48291571,13.7283205,13.01168497,12.27071634,11.6475459,11.05033101,10.4786843,9.929848613,9.435743578,8.932140624,8.476714229,8.055664254,7.650659359,7.269643537,6.938575402,6.581333206,6.282717278,5.982184499,5.684086212,5.415747146,5.124368889,4.855472388,4.606490539,4.350872148,4.121917302,3.906178599,3.706094055,3.52770004,3.369055753,3.218924508,3.085839014,2.966928738
"Andorra","AND","Upper","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.6036901,93.09852822,78.93036557,67.90770953,58.36708692,50.39690301,44.39183664,39.00971029,33.85193117,29.66702312,26.37170788,23.28228866,20.75491088,18.55995238,16.82576027,15.28479316,14.02764782,12.88233579,11.96246893,11.19521668,10.66147807,10.27633946,9.924826692,9.779300033,9.679782994,9.631349172,9.658331374,9.8454154,10.02725916,10.28650711,10.59013379,10.77642538,10.90909959,11.06212246,10.96969675
"Angola","AGO","Lower","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.1560957,184.7862873,187.0637616,188.6851791,190.7865178,192.1998676,193.4267981,194.427934,195.3088463,195.9381186,196.8297607,197.2780615,197.6511199,197.5842058,197.2772712,196.2094508,194.2169125,191.6332612,187.9034139,183.8415075,178.5788268,172.651228,165.9544044,157.737423,148.7398383,138.9584298,127.9975567,116.8758999,105.4544344,94.1551208,83.34707442,73.51771679,64.77648303,57.23198519,51.57859225,46.58118982,42.56157944,39.74172727,36.91796641,34.55018938
"Angola","AGO","Median","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.3043346,234.6094084,231.8955571,229.1756735,227.0580456,225.4814633,224.2828162,223.3613677,222.8456831,222.3148531,222.1770287,222.0734729,222.1019724,222.2804088,221.9288964,221.2070984,219.6747106,216.9704203,213.5117334,209.1731016,203.8663533,197.7821386,190.9141731,183.2401361,174.607785,165.5584167,156.1527605,146.8072668,137.3793191,128.5779952,120.2673562,112.3036093,105.0052945,98.61724218,92.9947922,88.20149099,84.21189427,80.62230214,77.67232044,74.68671006
"Angola","AGO","Upper","Under-five Mortality Rate","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.3012732,298.0372656,286.9449677,277.7771537,270.0877447,264.2095005,259.457082,255.7912518,253.7952783,252.4760265,251.2932306,251.2441876,250.3541521,250.2949995,249.9348961,249.1770343,247.4334539,245.1826582,242.0806855,238.1748174,233.726281,228.2160474,221.4049398,213.3536963,204.8940398,196.7284422,189.4592275,183.0120437,177.1342007,171.3914236,166.8064625,162.949014,159.1466838,156.10296,152.5233903,149.5712599,146.4481948,143.7342852,141.0971531,139.323654
"Antigua & Barbuda","ATG","Lower","Under-five Mortality Rate","Total",109.6105164,109.498003,108.2743049,106.2054779,103.553615,100.75096,97.72975956,94.66510964,91.30743601,87.18327529,82.1489087,76.29979932,69.99113349,63.41914784,56.97524741,50.7766269,45.1283173,40.12260776,35.78477522,32.15962034,29.1530733,26.65269134,24.62859966,22.88516728,21.38223681,19.99482809,18.72132524,17.52181716,16.39308864,15.40588522,14.53582471,13.79912642,13.17026109,12.67475733,12.31404752,12.05391173,11.92909413,11.88582275,11.95492043,12.1285578,12.36751208,12.64634118,12.99727694,13.36756288,13.69848227,13.99917397,14.24050443,14.35492308,14.32281457,14.17071967,13.9111512,13.53059706,13.08627291,12.58746838,12.03423468,11.50189358,10.92908962,10.35845015,9.814333044,9.293023183,8.794589041,8.292641472,7.786401441,7.263208893,6.754197717,6.270636362,5.807358319,5.386411018,5.003072459,4.636529611
