Country,folderName,gadmCode,dhsCode,nSurvey,quality,DataProcessing,HIV,DirectEstimates,SmoothedDirect,Population,BetaBinomial,DropboxLink
Angola,Angola,AGO,AO,1,2, ,, ,Y,, ,https://www.dropbox.com/sh/j8w4cqpau10w9op/AAAIIwVt2WdWLqeIiCm7F0rJa?dl=0
Benin,Benin,BEN,BJ,3,1, ,, , ,, ,https://www.dropbox.com/sh/l1xzjif6r5czawt/AABLX2FL4dP9rUtvBE2szkdHa?dl=0
Botswana,Botswana,BWA,BT,0,, ,, , ,, ,
Burkina Faso,BurkinaFaso,BFA,BF,4,2, ,, ,Y,, ,https://www.dropbox.com/sh/lnne78t4axe3gfr/AABnkKUNJBmhErszqB6JGvJsa?dl=0
Burundi,Burundi,BDI,BU,2,1, ,, , ,, ,https://www.dropbox.com/sh/1ryjtu0wydpmn5h/AADw57wYCecOlr54GKMIw8gga?dl=0
Cameroon,Cameroon,CMR,CM,3,2, ,Y, ,Y,, ,https://www.dropbox.com/sh/br7n0vkqynxsvx2/AAAbW5NKgfEnAbq4qCvKOhi-a?dl=0
Cape Verde,CapeVerde,CPV,CV,0,, ,, , ,, ,
Central African Republic,CentralAfricanRepublic,CAF,CF,1,3, ,Y, ,Y,, ,https://www.dropbox.com/sh/43w41nmglnj1bh4/AABld1CN7cutEFFIBlqifqNDa?dl=0
Chad,Chad,TCD,TD,1,2, ,, ,Y,, ,https://www.dropbox.com/sh/hf8xxjvx0xims4s/AAAjXpg6Zj9LgluMiFfbdXopa?dl=0
Comoros,Comoros,COM,KM,1,2, ,, ,Y,, ,https://www.dropbox.com/sh/67w0m2mwmvldi6m/AAAq5KBUkpgFwiZRaolhs2-Aa?dl=0
Congo,Congo,COG,CG,0,, ,, , ,, ,https://www.dropbox.com/sh/0e86nhue5jogvbd/AACGQH4mWW2X17h30_CJY53ya?dl=0
Congo Democratic Republic,CongoDemocraticRepublic,COD,CD,2,2, ,, ,Y,, ,https://www.dropbox.com/sh/wfsfvmlkejws3kv/AAAwjWx0L-UlX42GBIq3-Dcwa?dl=0
Cote dIvoire,CotedIvoire,CIV,CI,3,2, ,Y, ,Y,, ,https://www.dropbox.com/sh/hm9hcmhuwci20qa/AADGTe0B-CJCWwHTp2WT7-WBa?dl=0
Egypt,Egypt,EGY,EG,0,, ,, , ,, ,
