X,FileFormat,FileSize,DatasetType,SurveyNum,SurveyId,FileType,FileDateLastModified,SurveyType,SurveyYearLabel,SurveyYear,DHS_CountryCode,FileName,CountryName,URLS,avail,releasedate,datemin,
1,Stata dataset (.dta),1126527,Survey Datasets,395,AO2011MIS,Births Recode,"May, 08 2017 14:01:32",MIS,2011,2011,AO,AOBR62DT.ZIP,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR62DT.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm,publicly available,NA,NA,
2,Flat ASCII data (.dat),1260002,Survey Datasets,395,AO2011MIS,Births Recode,"May, 08 2017 14:01:49",MIS,2011,2011,AO,AOBR62FL.ZIP,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm,publicly available,NA,NA,
5,Stata dataset (.dta),6132612,Survey Datasets,477,AO2015DHS,Births Recode,"June, 28 2017 10:23:44",DHS,2015-16,2015,AO,AOBR71DT.ZIP,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR71DT.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,publicly available,NA,NA,
6,Flat ASCII data (.dat),6207309,Survey Datasets,477,AO2015DHS,Births Recode,"June, 28 2017 10:25:00",DHS,2015-16,2015,AO,AOBR71FL.ZIP,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,publicly available,NA,NA,
69,Flat ASCII data (.dat),11331,GPS Datasets,282,AO2006MIS,Geographic Data,"March, 03 2012 11:32:30",MIS,2006-07,2006,AO,AOGE52FL.zip,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE52FL.zip&Tp=2&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm,publicly available,NA,NA,
70,Flat ASCII data (.dat),28754,GPS Datasets,395,AO2011MIS,Geographic Data,"March, 05 2012 11:10:07",MIS,2011,2011,AO,AOGE61FL.ZIP,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE61FL.zip&Tp=2&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm,publicly available,NA,NA,
71,Flat ASCII data (.dat),70632,GPS Datasets,477,AO2015DHS,Geographic Data,"July, 03 2017 10:59:00",DHS,2015-16,2015,AO,AOGE71FL.zip,Angola,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE71FL.zip&Tp=2&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,publicly available,NA,NA,
72,Stata dataset (.dta),2181595,Survey Datasets,87,BJ1996DHS,Births Recode,"May, 15 2007 12:15:30",DHS,1996,1996,BJ,BJBR31dt.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR31DT.zip&Tp=1&Ctry_Code=BJ&surv_id=87&dm=1&dmode=nm,publicly available,NA,NA,
73,Flat ASCII data (.dat),2419091,Survey Datasets,87,BJ1996DHS,Births Recode,"May, 15 2007 12:15:36",DHS,1996,1996,BJ,BJBR31FL.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR31FL.zip&Tp=1&Ctry_Code=BJ&surv_id=87&dm=1&dmode=nm,publicly available,NA,NA,
76,Stata dataset (.dta),3061981,Survey Datasets,211,BJ2001DHS,Births Recode,"May, 15 2007 12:30:36",DHS,2001,2001,BJ,BJBR41dt.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR41DT.zip&Tp=1&Ctry_Code=BJ&surv_id=211&dm=1&dmode=nm,publicly available,NA,NA,
77,Flat ASCII data (.dat),3290060,Survey Datasets,211,BJ2001DHS,Births Recode,"May, 15 2007 12:30:44",DHS,2001,2001,BJ,BJBR41FL.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR41FL.zip&Tp=1&Ctry_Code=BJ&surv_id=211&dm=1&dmode=nm,publicly available,NA,NA,
80,Stata dataset (.dta),8568857,Survey Datasets,289,BJ2006DHS,Births Recode,"May, 21 2010 10:47:32",DHS,2006,2006,BJ,BJBR51DT.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR51DT.zip&Tp=1&Ctry_Code=BJ&surv_id=289&dm=1&dmode=nm,publicly available,NA,NA,
81,Flat ASCII data (.dat),8285321,Survey Datasets,289,BJ2006DHS,Births Recode,"May, 21 2010 10:48:10",DHS,2006,2006,BJ,BJBR51FL.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR51FL.zip&Tp=1&Ctry_Code=BJ&surv_id=289&dm=1&dmode=nm,publicly available,NA,NA,
84,Stata dataset (.dta),6507446,Survey Datasets,420,BJ2012DHS,Births Recode,"July, 17 2018 15:04:58",DHS,2011-12,2012,BJ,BJBR61DT.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR61DT.zip&Tp=1&Ctry_Code=BJ&surv_id=420&dm=1&dmode=nm,publicly available,NA,NA,
85,Flat ASCII data (.dat),6432811,Survey Datasets,420,BJ2012DHS,Births Recode,"July, 17 2018 15:05:00",DHS,2011-12,2012,BJ,BJBR61FL.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR61FL.zip&Tp=1&Ctry_Code=BJ&surv_id=420&dm=1&dmode=nm,publicly available,NA,NA,
88,Stata dataset (.dta),7162371,Survey Datasets,491,BJ2017DHS,Births Recode,"April, 01 2019 09:59:42",DHS,2017-18,2017,BJ,BJBR71DT.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR71DT.zip&Tp=1&Ctry_Code=BJ&surv_id=491&dm=1&dmode=nm,publicly available,NA,NA,
89,Flat ASCII data (.dat),7260740,Survey Datasets,491,BJ2017DHS,Births Recode,"April, 01 2019 09:59:53",DHS,2017-18,2017,BJ,BJBR71FL.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJBR71FL.zip&Tp=1&Ctry_Code=BJ&surv_id=491&dm=1&dmode=nm,publicly available,NA,NA,
257,Flat ASCII data (.dat),25789,GPS Datasets,87,BJ1996DHS,Geographic Data,"March, 03 2012 11:31:58",DHS,1996,1996,BJ,BJGE33FL.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE33FL.zip&Tp=2&Ctry_Code=BJ&surv_id=87&dm=1&dmode=nm,publicly available,NA,NA,
258,Flat ASCII data (.dat),57237,GPS Datasets,211,BJ2001DHS,Geographic Data,"March, 05 2012 18:26:54",DHS,2001,2001,BJ,BJGE42FL.zip,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE42FL.zip&Tp=2&Ctry_Code=BJ&surv_id=211&dm=1&dmode=nm,publicly available,NA,NA,
259,Flat ASCII data (.dat),74053,GPS Datasets,420,BJ2012DHS,Geographic Data,"March, 03 2014 10:24:00",DHS,2011-12,2012,BJ,BJGE61FL.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE61FL.zip&Tp=2&Ctry_Code=BJ&surv_id=420&dm=1&dmode=nm,publicly available,NA,NA,
260,Flat ASCII data (.dat),57281,GPS Datasets,491,BJ2017DHS,Geographic Data,"October, 16 2019 15:48:24",DHS,2017-18,2017,BJ,BJGE71FL.ZIP,Benin,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BJGE71FL.zip&Tp=2&Ctry_Code=BJ&surv_id=491&dm=1&dmode=nm,publicly available,NA,NA,
261,Stata dataset (.dta),2595141,Survey Datasets,42,BF1993DHS,Births Recode,"May, 15 2007 10:45:18",DHS,1993,1993,BF,BFBR21dt.zip,Burkina Faso,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFBR21DT.zip&Tp=1&Ctry_Code=BF&surv_id=42&dm=1&dmode=nm,publicly available,NA,NA,
262,Flat ASCII data (.dat),2871613,Survey Datasets,42,BF1993DHS,Births Recode,"May, 15 2007 10:45:24",DHS,1993,1993,BF,BFBR21FL.zip,Burkina Faso,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFBR21FL.zip&Tp=1&Ctry_Code=BF&surv_id=42&dm=1&dmode=nm,publicly available,NA,NA,
265,Stata dataset (.dta),3005166,Survey Datasets,116,BF1999DHS,Births Recode,"May, 15 2007 11:07:14",DHS,1998-99,1999,BF,BFBR31dt.zip,Burkina Faso,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFBR31DT.zip&Tp=1&Ctry_Code=BF&surv_id=116&dm=1&dmode=nm,publicly available,NA,NA,
